label,msg
ham,Dear Mr Injamoori -Your IndiGo PNR is REYRYQ- 6E6913 05Dec VNSHYD 1845/2050. Web check-in now by clicking here - http://ty.vfap.co/1zg25nnv
ham,G.W.R
spam,"OMG! REEBOK @FLAT 1499 till 2 PM!! Need we say more? Run guys Run! You might not get a second chance!
http://msg.mn/5IyFbG"
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
spam,"HI! Insert Vodafone SIM in Slot 1 to enjoy Fast Internet Speed.Data usage without data pack will be charged@Standard Rates.To Save, buy a data pack.Dial*111#"
spam,Slot booking for Self Proctored SimCAT 2 opens today at 3pm. Book your slot by logging onto myimsv2.imsindia.com
spam,"Your plan for Jio no.8919466484 will expire on 27-01-2018. To avoid STOPPAGE of services, recharge IMMEDIATELY with Rs.399 plan (1GB/day for 84 days) today and get more than 100% cashback upto Rs.700. Click http://jio.com/r/XgEvc7uP to recharge. T&C apply"
spam,Congrats! Your Account has been credited with additional benefits.
spam,"Dear Aspirant, IMI Kolkata wishes you all the best for your CAT exam. Best Wishes IMI Kolkata."
ham,Biggest challenge for all CAT17 aspirants is now ON. Have you registered for IMS CAT Challenge? Registration closing on 16 Nov. Click goo.gl/ef6J6C to register!
ham,"Dear Customer, You are covered under Group Personal Accident Policy # GPA0009289 of TATA AIG General Insurance Company Ltd. for up to Rs 4,00,000/-. Toll Free no : 18002667780"
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,"As per our delivery partner, your package of 1 ROUND NECK T-SHIRTS  with tracking ID MLJP2330913 against Order No. ending 64189 is DELIVERED. Check email for details. Download app for exciting offers and discounts at https://goo.gl/xmo78G Track order http://jbo.ng/X3SCuXx"
spam,"No one can go back in time to change , So work on your present to make a wonderful future. Happy New Year !!
Regards
Alok Singh
SBS, Ahmedabad
(AICTE, PGDM)"
spam,"Tired of recharging your wallets? Transact with UPI. Download now, trupay.in/get"
spam,Adult 18 Content Your video will be with you shortly
spam,"All the Best IIFT'17 aspirants! Stay Calm and crack the Test! Come back to goo.gl/MwDXq5 to check IMS detailed analysis, Score calculator and What after IIFT!"
ham,"Dear Customer, please do not divulge any sensitive personal information to anyone via email/phone calls, eBay India doesn't ask for such information. Thank you."
spam,"Please visit the link https://goo.gl/tZa9t9 and do the change in address, if any, to avail your fist copy of IMS magazine - ""Advancedge-MBA"", subscription starts from April'17."
ham,Check your Jio Data balance and manage your account on the go. Click http://jio.com/r/DxKRcmwE to know more.
spam,08714712388 between 10am-7pm Cost 10p
spam,Santa has a Christmas gift for you! Tap https://goo.gl/GMpXig to find out what it is. Make it a merrier Christmas!
spam,Pay using BHIM 24x7x365. Download BHIM TODAY!!! Click here bit.ly/2ujQmwe. From MeitY
spam,"Dear Titan encircle member, If there is a change in your mobile no, Please update your registered mobile number with us by calling 18001084826 to avoid misuse."
spam,"Dear Customer, Your promo Bucket Balance has been exhausted, kindly dial *111*2*4*2# to check a/c balance."
ham,"You have used 90% of your daily 1 GB high speed internet quota on your Jio Number 8919750261 as of 02-Apr-17 23:43 Hrs. After consumption of 1 GB balance data, internet speed will be reduced to 128 kbps. Click https://www.jio.com/GetMyJio to buy data packs and continue enjoying high speed internet.

Get Jio Summer Surprise! Recharge Rs. 303 + Jio Prime (Rs.99) now and get 3 months of service in addition to your recharge benefit."
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
ham,Enjoy the All New Domino's Pizza. Your order no is 71. Click http://piza.store/di/30880848407036777.Png for your invoice.
ham,"Dear Customer, shop with your SBI Debit Card on Flipkart Big Billion Days sale and avail 10% INSTANT DISCOUNT*! Validity: 20-24 Sep 2017. T&C"
ham,"CAT 2017 test registration extended up to 25th Sept,5pm. Click goo.gl/FU6PDt to check notification details and register before the deadline if not done!"
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,"Rs. 25 cancellation fee will be charged on your next ride. In case you are charged incorrectly, you can claim a refund from the support section on the app."
spam,Voila! Rs. 10 has been credited to your Freecharge Balance for surprise cashback. Valid till 185 days. View your updated wallet balance here: https://frch.in/wb
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
spam,"As per the Govt of India directive, Goods & Service Tax will be effective starting July 1st, 2017. Please note that the current 15% service tax will be revised to 18% GST on all JioMoney Payment-to-Bank transactions.
Team JioMoney"
ham,"1. Cement: 1362 kg per cubic meters

2. Sand: 1600 kg per cubic meters (dry sand)
2100 kg per cubic meters (wet sand)"
spam,Truecaller code 463368
spam,"Eid costs less@ Vishal Megamart
5kgRiceFREEon5000
Rs 30off on 2Real Juice 1l
B1G1FREE
ImliTree spices
LadiesKurta
Kids Jeans
TC"
spam,Accept payments on BHIM and increase customer delight with rewards. To know more  bit.ly/2ujQmwe. From MeitY
